Provinsi,Tahun,Semangka_Ton,Salak_Ton,Nanas_Ton,Nangka_Ton,Mangga_Ton,JerukBesar_Ton,JambuAir_Ton,Pepaya_Ton,Rambutan_Ton,Alpukat_Ton,Durian_Ton,JambuBiji_Ton
ACEH,2020,8271,1484,1356,9453,22872,12702,4081,24323,21640,20609,28018,2463
SUMATERA UTARA,2020,63627,301932,158205,15664,32600,4612,13314,30065,18721,32012,74675,10862
SUMATERA BARAT,2020,18893,1181,293,12608,12502,664,4582,37549,17574,69787,131430,11755
RIAU,2020,30658,4357,214277,22944,18946,3367,10706,21016,21973,1179,15168,11069
JAMBI,2020,6069,4090,149592,16636,4574,518,2402,14118,6510,9817,16063,2546
SUMATERA SELATAN,2020,14086,1895,137363,11493,13824,662,4327,25426,10654,36343,30334,5958
BENGKULU,2020,1406,1186,333,5105,6026,1366,1193,4755,5102,6282,9260,931
LAMPUNG,2020,25007,8779,662588,31043,21849,2600,7664,92459,18951,17304,14620,17343
KEP. BANGKA BELITUNG,2020,4144,703,6052,3723,1817,258,2103,1504,1826,839,4312,615
KEP. RIAU,2020,2600,732,4054,5818,3787,50,593,1968,282,230,3556,576
DKI JAKARTA,2020,0,112,0,733,5717,25,2552,513,1859,1491,87,678
JAWA BARAT,2020,14606,31693,250942,75257,442587,13042,20996,99088,127144,104665,73017,79434
JAWA TENGAH,2020,85954,512228,252221,161163,481920,13800,42312,120747,101988,73933,138100,105639
DI YOGYAKARTA,2020,7090,54996,519,14210,29833,363,3838,13995,9013,2304,6771,4284
JAWA TIMUR,2020,132547,141073,220552,177413,1292960,19983,33730,268375,126863,175735,275795,90846
BANTEN,2020,3438,924,369,6290,28719,379,7278,20798,22321,2019,32488,6689
BALI,2020,16046,75388,790,30741,57688,4154,3875,16789,15943,2815,26479,4071
NUSA TENGGARA BARAT,2020,34477,91,46187,74933,140242,1862,1846,13105,17400,19260,30578,8571
NUSA TENGGARA TIMUR,2020,2844,2977,17474,22777,60501,2585,1246,84717,4697,13870,1753,6113
KALIMANTAN BARAT,2020,5822,1729,208463,11612,4305,1295,2405,17975,6479,687,14673,3318
KALIMANTAN TENGAH,2020,13975,786,14455,13652,1781,739,1048,3769,7324,176,6234,2026
KALIMANTAN SELATAN,2020,24873,769,12986,20375,10609,656,664,4052,16253,29,17890,1610
KALIMANTAN TIMUR,2020,6957,19878,21976,13584,4260,910,1791,15121,9209,1148,10497,2228
KALIMANTAN UTARA,2020,695,3320,345,8254,5804,175,693,6698,5996,119,9577,311
SULAWESI UTARA,2020,501,32212,1780,8329,12016,1220,956,9985,6512,3317,6849,1062
SULAWESI TENGAH,2020,11259,963,49593,3711,10486,444,558,4349,7893,2131,19382,488
SULAWESI SELATAN,2020,12871,12039,2111,23555,115418,35574,1583,25033,40570,6795,73910,9407
