Provinsi,Tahun,Bawang_Merah_Ton,
ACEH,2000,4401,
ACEH,2001,3214,
ACEH,2002,3995,
ACEH,2003,6325,
ACEH,2004,7884,
ACEH,2005,7856,
ACEH,2006,7494,
ACEH,2007,6222,
ACEH,2008,5950,
ACEH,2009,2869,
ACEH,2010,3615,
ACEH,2011,2600,
ACEH,2012,4387,
ACEH,2013,3711,
ACEH,2014,6707,
ACEH,2015,5738,
ACEH,2016,6725,
ACEH,2017,8845,
ACEH,2018,6818,
ACEH,2019,8840,
ACEH,2020,11246,
SUMATERA UTARA,2000,49292,
SUMATERA UTARA,2001,28351,
SUMATERA UTARA,2002,25144,
SUMATERA UTARA,2003,25431,
SUMATERA UTARA,2004,19710,
SUMATERA UTARA,2005,9226,
SUMATERA UTARA,2006,8667,
SUMATERA UTARA,2007,11005,
SUMATERA UTARA,2008,12074,
SUMATERA UTARA,2009,12654,
SUMATERA UTARA,2010,9413,
SUMATERA UTARA,2011,12449,
SUMATERA UTARA,2012,14158,
SUMATERA UTARA,2013,8305,
SUMATERA UTARA,2014,7810,
SUMATERA UTARA,2015,9970,
SUMATERA UTARA,2016,13369,
SUMATERA UTARA,2017,16103,
SUMATERA UTARA,2018,16337,
SUMATERA UTARA,2019,18072,
SUMATERA UTARA,2020,29222,
SUMATERA BARAT,2000,14942,
SUMATERA BARAT,2001,9058,
SUMATERA BARAT,2002,10736,
SUMATERA BARAT,2003,8157,
SUMATERA BARAT,2004,13873,
SUMATERA BARAT,2005,19118,
SUMATERA BARAT,2006,20038,
SUMATERA BARAT,2007,18170,
SUMATERA BARAT,2008,20735,
SUMATERA BARAT,2009,21985,
SUMATERA BARAT,2010,25058,
SUMATERA BARAT,2011,32442,
SUMATERA BARAT,2012,35839,
SUMATERA BARAT,2013,42791,
SUMATERA BARAT,2014,61336,
SUMATERA BARAT,2015,61568,
SUMATERA BARAT,2016,66543,
SUMATERA BARAT,2017,95534,
SUMATERA BARAT,2018,113865,
SUMATERA BARAT,2019,122399,
SUMATERA BARAT,2020,153770,
RIAU,2000,0,
RIAU,2001,0,
RIAU,2002,0,
RIAU,2003,0,
RIAU,2004,0,
RIAU,2005,0,
RIAU,2006,0,
RIAU,2007,0,
RIAU,2008,51,
RIAU,2009,0,
RIAU,2010,0,
RIAU,2011,0,
RIAU,2012,0,
RIAU,2013,12,
RIAU,2014,59,
RIAU,2015,141,
RIAU,2016,303,
RIAU,2017,262,
RIAU,2018,186,
RIAU,2019,507,
RIAU,2020,263,
JAMBI,2000,1318,
JAMBI,2001,1207,
JAMBI,2002,1780,
JAMBI,2003,1466,
JAMBI,2004,1180,
JAMBI,2005,1212,
JAMBI,2006,1622,
JAMBI,2007,1494,
JAMBI,2008,2631,
JAMBI,2009,1813,
JAMBI,2010,1492,
JAMBI,2011,7994,
JAMBI,2012,6851,
JAMBI,2013,1010,
JAMBI,2014,4836,
JAMBI,2015,3937,
JAMBI,2016,4940,
JAMBI,2017,8941,
JAMBI,2018,10059,
JAMBI,2019,9686,
JAMBI,2020,11977,
SUMATERA SELATAN,2000,231,
SUMATERA SELATAN,2001,49,
SUMATERA SELATAN,2002,26,
SUMATERA SELATAN,2003,18,
SUMATERA SELATAN,2004,82,
SUMATERA SELATAN,2005,84,
SUMATERA SELATAN,2006,46,
SUMATERA SELATAN,2007,40,
SUMATERA SELATAN,2008,51,
SUMATERA SELATAN,2009,18,
SUMATERA SELATAN,2010,74,
SUMATERA SELATAN,2011,37,
SUMATERA SELATAN,2012,17,
SUMATERA SELATAN,2013,218,
SUMATERA SELATAN,2014,151,
SUMATERA SELATAN,2015,584,
SUMATERA SELATAN,2016,639,
SUMATERA SELATAN,2017,1376,
SUMATERA SELATAN,2018,1443,
SUMATERA SELATAN,2019,1390,
SUMATERA SELATAN,2020,934,
BENGKULU,2000,1083,
BENGKULU,2001,615,
BENGKULU,2002,652,
BENGKULU,2003,2089,
BENGKULU,2004,352,
BENGKULU,2005,290,
BENGKULU,2006,443,
BENGKULU,2007,513,
BENGKULU,2008,1081,
BENGKULU,2009,939,
BENGKULU,2010,602,
BENGKULU,2011,506,
BENGKULU,2012,697,
BENGKULU,2013,699,
BENGKULU,2014,461,
BENGKULU,2015,445,
BENGKULU,2016,351,
BENGKULU,2017,478,
BENGKULU,2018,911,
BENGKULU,2019,523,
BENGKULU,2020,1153,
LAMPUNG,2000,495,
LAMPUNG,2001,786,
LAMPUNG,2002,1364,
LAMPUNG,2003,715,
LAMPUNG,2004,610,
LAMPUNG,2005,605,
LAMPUNG,2006,162,
LAMPUNG,2007,443,
LAMPUNG,2008,291,
LAMPUNG,2009,299,
LAMPUNG,2010,369,
LAMPUNG,2011,705,
LAMPUNG,2012,418,
LAMPUNG,2013,220,
LAMPUNG,2014,943,
LAMPUNG,2015,1987,
LAMPUNG,2016,2574,
LAMPUNG,2017,2821,
LAMPUNG,2018,3608,
LAMPUNG,2019,3634,
LAMPUNG,2020,2105,
KEP. BANGKA BELITUNG,2000,,
KEP. BANGKA BELITUNG,2001,0,
KEP. BANGKA BELITUNG,2002,0,
KEP. BANGKA BELITUNG,2003,0,
KEP. BANGKA BELITUNG,2004,0,
KEP. BANGKA BELITUNG,2005,7,
KEP. BANGKA BELITUNG,2006,0,
KEP. BANGKA BELITUNG,2007,0,
KEP. BANGKA BELITUNG,2008,0,
KEP. BANGKA BELITUNG,2009,0,
KEP. BANGKA BELITUNG,2010,0,
KEP. BANGKA BELITUNG,2011,0,
KEP. BANGKA BELITUNG,2012,22,
KEP. BANGKA BELITUNG,2013,0,
KEP. BANGKA BELITUNG,2014,4,
KEP. BANGKA BELITUNG,2015,15,
KEP. BANGKA BELITUNG,2016,66,
KEP. BANGKA BELITUNG,2017,13,
KEP. BANGKA BELITUNG,2018,86,
KEP. BANGKA BELITUNG,2019,170,
KEP. BANGKA BELITUNG,2020,157,
KEP. RIAU,2000,,
KEP. RIAU,2001,,
KEP. RIAU,2002,,
KEP. RIAU,2003,,
KEP. RIAU,2004,0,
KEP. RIAU,2005,,
KEP. RIAU,2006,0,
KEP. RIAU,2007,0,
KEP. RIAU,2008,0,
KEP. RIAU,2009,0,
KEP. RIAU,2010,0,
KEP. RIAU,2011,1,
KEP. RIAU,2012,0,
KEP. RIAU,2013,0,
KEP. RIAU,2014,0,
KEP. RIAU,2015,2,
KEP. RIAU,2016,0,
KEP. RIAU,2017,1,
KEP. RIAU,2018,1,
KEP. RIAU,2019,95,
KEP. RIAU,2020,123,
DKI JAKARTA,2000,0,
DKI JAKARTA,2001,0,
DKI JAKARTA,2002,0,
DKI JAKARTA,2003,0,
DKI JAKARTA,2004,0,
DKI JAKARTA,2005,0,
DKI JAKARTA,2006,0,
DKI JAKARTA,2007,0,
DKI JAKARTA,2008,0,
DKI JAKARTA,2009,0,
DKI JAKARTA,2010,0,
DKI JAKARTA,2011,0,
DKI JAKARTA,2012,0,
DKI JAKARTA,2013,0,
DKI JAKARTA,2014,0,
DKI JAKARTA,2015,0,
DKI JAKARTA,2016,47,
DKI JAKARTA,2017,0,
DKI JAKARTA,2018,,
DKI JAKARTA,2019,0,
DKI JAKARTA,2020,0,
JAWA BARAT,2000,122391,
JAWA BARAT,2001,103326,
JAWA BARAT,2002,96619,
JAWA BARAT,2003,120219,
