Provinsi,Tahun,Bawang_Putih_Ton
ACEH,2000,35
ACEH,2001,35
ACEH,2002,1104
ACEH,2003,1260
ACEH,2004,1454
ACEH,2005,1037
ACEH,2006,46
ACEH,2007,69
ACEH,2008,204
ACEH,2009,112
ACEH,2010,161
ACEH,2011,79
ACEH,2012,113
ACEH,2013,126
ACEH,2014,0
ACEH,2015,0
ACEH,2016,21
ACEH,2017,140
ACEH,2018,32
ACEH,2019,288
ACEH,2020,796
SUMATERA UTARA,2000,10130
SUMATERA UTARA,2001,8735
SUMATERA UTARA,2002,10532
SUMATERA UTARA,2003,14113
SUMATERA UTARA,2004,9543
SUMATERA UTARA,2005,3200
SUMATERA UTARA,2006,1036
SUMATERA UTARA,2007,634
SUMATERA UTARA,2008,248
SUMATERA UTARA,2009,285
SUMATERA UTARA,2010,218
SUMATERA UTARA,2011,255
SUMATERA UTARA,2012,200
SUMATERA UTARA,2013,109
SUMATERA UTARA,2014,38
SUMATERA UTARA,2015,129
SUMATERA UTARA,2016,70
SUMATERA UTARA,2017,56
SUMATERA UTARA,2018,59
SUMATERA UTARA,2019,975
SUMATERA UTARA,2020,1339
SUMATERA BARAT,2000,292
SUMATERA BARAT,2001,45
SUMATERA BARAT,2002,696
SUMATERA BARAT,2003,335
SUMATERA BARAT,2004,783
SUMATERA BARAT,2005,763
SUMATERA BARAT,2006,983
SUMATERA BARAT,2007,726
SUMATERA BARAT,2008,1033
SUMATERA BARAT,2009,1230
SUMATERA BARAT,2010,2032
SUMATERA BARAT,2011,2240
SUMATERA BARAT,2012,2352
SUMATERA BARAT,2013,1999
SUMATERA BARAT,2014,792
SUMATERA BARAT,2015,495
SUMATERA BARAT,2016,590
SUMATERA BARAT,2017,686
SUMATERA BARAT,2018,1052
SUMATERA BARAT,2019,1866
SUMATERA BARAT,2020,4906
RIAU,2000,0
RIAU,2001,0
RIAU,2002,0
RIAU,2003,0
RIAU,2004,0
RIAU,2005,0
RIAU,2006,0
RIAU,2007,0
RIAU,2008,0
RIAU,2009,0
RIAU,2010,0
RIAU,2011,0
RIAU,2012,0
RIAU,2013,0
RIAU,2014,0
RIAU,2015,0
RIAU,2016,0
RIAU,2017,2
RIAU,2018,
RIAU,2019,0
RIAU,2020,0
JAMBI,2000,94
JAMBI,2001,40
JAMBI,2002,42
JAMBI,2003,84
JAMBI,2004,218
JAMBI,2005,247
JAMBI,2006,266
JAMBI,2007,307
JAMBI,2008,730
JAMBI,2009,376
JAMBI,2010,274
JAMBI,2011,26
JAMBI,2012,14
JAMBI,2013,5
JAMBI,2014,115
JAMBI,2015,59
JAMBI,2016,0
JAMBI,2017,0
JAMBI,2018,41
JAMBI,2019,395
JAMBI,2020,502
SUMATERA SELATAN,2000,3
SUMATERA SELATAN,2001,0
SUMATERA SELATAN,2002,1
SUMATERA SELATAN,2003,0
SUMATERA SELATAN,2004,0
SUMATERA SELATAN,2005,0
SUMATERA SELATAN,2006,0
SUMATERA SELATAN,2007,0
SUMATERA SELATAN,2008,0
SUMATERA SELATAN,2009,0
SUMATERA SELATAN,2010,0
SUMATERA SELATAN,2011,0
SUMATERA SELATAN,2012,0
SUMATERA SELATAN,2013,0
SUMATERA SELATAN,2014,0
SUMATERA SELATAN,2015,0
SUMATERA SELATAN,2016,0
SUMATERA SELATAN,2017,0
SUMATERA SELATAN,2018,
SUMATERA SELATAN,2019,157
SUMATERA SELATAN,2020,115
BENGKULU,2000,0
BENGKULU,2001,0
BENGKULU,2002,0
