Provinsi,Tahun,Cabai_Merah_Ton
ACEH,2000,
ACEH,2001,
ACEH,2002,
ACEH,2003,30913
ACEH,2004,30389
ACEH,2005,31791
ACEH,2006,43979
ACEH,2007,26418
ACEH,2008,30768
ACEH,2009,20730
ACEH,2010,35324
ACEH,2011,30018
ACEH,2012,51412
ACEH,2013,42427
ACEH,2014,50188
ACEH,2015,52907
ACEH,2016,45449
ACEH,2017,53041
ACEH,2018,68153
ACEH,2019,63595
ACEH,2020,73444
SUMATERA UTARA,2000,
SUMATERA UTARA,2001,
SUMATERA UTARA,2002,
SUMATERA UTARA,2003,128991
SUMATERA UTARA,2004,125957
SUMATERA UTARA,2005,93003
SUMATERA UTARA,2006,107673
SUMATERA UTARA,2007,112845
SUMATERA UTARA,2008,116980
SUMATERA UTARA,2009,124423
SUMATERA UTARA,2010,154694
SUMATERA UTARA,2011,197809
SUMATERA UTARA,2012,197411
SUMATERA UTARA,2013,161933
SUMATERA UTARA,2014,147812
SUMATERA UTARA,2015,187835
SUMATERA UTARA,2016,152629
SUMATERA UTARA,2017,159131
SUMATERA UTARA,2018,155836
SUMATERA UTARA,2019,154008
SUMATERA UTARA,2020,193862
SUMATERA BARAT,2000,
SUMATERA BARAT,2001,
SUMATERA BARAT,2002,
SUMATERA BARAT,2003,46928
SUMATERA BARAT,2004,37975
SUMATERA BARAT,2005,13458
SUMATERA BARAT,2006,24767
SUMATERA BARAT,2007,31790
SUMATERA BARAT,2008,32434
SUMATERA BARAT,2009,35778
SUMATERA BARAT,2010,39557
SUMATERA BARAT,2011,48875
SUMATERA BARAT,2012,57673
SUMATERA BARAT,2013,60981
SUMATERA BARAT,2014,59390
SUMATERA BARAT,2015,63403
SUMATERA BARAT,2016,68226
SUMATERA BARAT,2017,95489
SUMATERA BARAT,2018,106061
SUMATERA BARAT,2019,139994
SUMATERA BARAT,2020,133190
RIAU,2000,
RIAU,2001,
RIAU,2002,
RIAU,2003,2326
RIAU,2004,9250
RIAU,2005,5912
RIAU,2006,7967
RIAU,2007,8140
RIAU,2008,6220
RIAU,2009,7751
RIAU,2010,7609
RIAU,2011,10504
RIAU,2012,9956
RIAU,2013,9089
RIAU,2014,9356
RIAU,2015,7393
RIAU,2016,12003
RIAU,2017,15813
RIAU,2018,17325
RIAU,2019,17513
RIAU,2020,16735
JAMBI,2000,
JAMBI,2001,
JAMBI,2002,
JAMBI,2003,40272
JAMBI,2004,21070
JAMBI,2005,18526
JAMBI,2006,17838
JAMBI,2007,17740
JAMBI,2008,20278
JAMBI,2009,13930
JAMBI,2010,12770
JAMBI,2011,23532
JAMBI,2012,10523
JAMBI,2013,39055
JAMBI,2014,36715
JAMBI,2015,30341
JAMBI,2016,39523
JAMBI,2017,31572
JAMBI,2018,38003
JAMBI,2019,42698
JAMBI,2020,47133
SUMATERA SELATAN,2000,
SUMATERA SELATAN,2001,
SUMATERA SELATAN,2002,
SUMATERA SELATAN,2003,17386
SUMATERA SELATAN,2004,12080
SUMATERA SELATAN,2005,12305
SUMATERA SELATAN,2006,20594
SUMATERA SELATAN,2007,10841
SUMATERA SELATAN,2008,19745
SUMATERA SELATAN,2009,20832
SUMATERA SELATAN,2010,24254
SUMATERA SELATAN,2011,14137
SUMATERA SELATAN,2012,18059
SUMATERA SELATAN,2013,15109
SUMATERA SELATAN,2014,14074
SUMATERA SELATAN,2015,10138
SUMATERA SELATAN,2016,26489
SUMATERA SELATAN,2017,40468
SUMATERA SELATAN,2018,41814
SUMATERA SELATAN,2019,40479
SUMATERA SELATAN,2020,28497
BENGKULU,2000,
BENGKULU,2001,
BENGKULU,2002,
BENGKULU,2003,31348
BENGKULU,2004,32990
BENGKULU,2005,30678
BENGKULU,2006,31455
BENGKULU,2007,32947
BENGKULU,2008,43451
BENGKULU,2009,40135
BENGKULU,2010,45835
BENGKULU,2011,29753
BENGKULU,2012,30337
BENGKULU,2013,40001
BENGKULU,2014,46167
BENGKULU,2015,41367
BENGKULU,2016,35773
BENGKULU,2017,32145
BENGKULU,2018,39794
BENGKULU,2019,37812
BENGKULU,2020,39638
LAMPUNG,2000,
LAMPUNG,2001,
LAMPUNG,2002,
LAMPUNG,2003,8123
LAMPUNG,2004,11020
LAMPUNG,2005,12545
LAMPUNG,2006,15725
LAMPUNG,2007,15232
LAMPUNG,2008,15964
LAMPUNG,2009,20369
LAMPUNG,2010,28686
LAMPUNG,2011,44374
LAMPUNG,2012,42439
LAMPUNG,2013,35233
LAMPUNG,2014,32259
LAMPUNG,2015,31274
LAMPUNG,2016,34790
LAMPUNG,2017,50203
LAMPUNG,2018,45380
LAMPUNG,2019,40101
LAMPUNG,2020,37987
KEP. BANGKA BELITUNG,2000,
KEP. BANGKA BELITUNG,2001,
KEP. BANGKA BELITUNG,2002,
KEP. BANGKA BELITUNG,2003,513
KEP. BANGKA BELITUNG,2004,1728
KEP. BANGKA BELITUNG,2005,893
KEP. BANGKA BELITUNG,2006,1499
KEP. BANGKA BELITUNG,2007,2112
KEP. BANGKA BELITUNG,2008,2507
KEP. BANGKA BELITUNG,2009,3052
KEP. BANGKA BELITUNG,2010,3278
KEP. BANGKA BELITUNG,2011,3519
KEP. BANGKA BELITUNG,2012,3230
KEP. BANGKA BELITUNG,2013,3636
KEP. BANGKA BELITUNG,2014,3686
KEP. BANGKA BELITUNG,2015,2517
KEP. BANGKA BELITUNG,2016,2280
KEP. BANGKA BELITUNG,2017,1993
KEP. BANGKA BELITUNG,2018,2501
KEP. BANGKA BELITUNG,2019,2468
KEP. BANGKA BELITUNG,2020,6955
KEP. RIAU,2000,
KEP. RIAU,2001,
KEP. RIAU,2002,
KEP. RIAU,2003,
KEP. RIAU,2004,0
KEP. RIAU,2005,
KEP. RIAU,2006,563
KEP. RIAU,2007,2114
KEP. RIAU,2008,2135
KEP. RIAU,2009,2195
KEP. RIAU,2010,2138
KEP. RIAU,2011,1427
KEP. RIAU,2012,2236
KEP. RIAU,2013,1852
KEP. RIAU,2014,3434
KEP. RIAU,2015,2389
KEP. RIAU,2016,1960
KEP. RIAU,2017,1944
KEP. RIAU,2018,2923
KEP. RIAU,2019,4351
KEP. RIAU,2020,4181
DKI JAKARTA,2000,
DKI JAKARTA,2001,
DKI JAKARTA,2002,
DKI JAKARTA,2003,0
DKI JAKARTA,2004,0
DKI JAKARTA,2005,4
DKI JAKARTA,2006,3
DKI JAKARTA,2007,0
DKI JAKARTA,2008,0
DKI JAKARTA,2009,0
DKI JAKARTA,2010,0
DKI JAKARTA,2011,0
DKI JAKARTA,2012,0
DKI JAKARTA,2013,0
DKI JAKARTA,2014,0
DKI JAKARTA,2015,0
DKI JAKARTA,2016,0
DKI JAKARTA,2017,0
DKI JAKARTA,2018,
DKI JAKARTA,2019,0
DKI JAKARTA,2020,0
JAWA BARAT,2000,
JAWA BARAT,2001,
JAWA BARAT,2002,
JAWA BARAT,2003,196481
JAWA BARAT,2004,159320
JAWA BARAT,2005,198343
JAWA BARAT,2006,181370
JAWA BARAT,2007,184765
JAWA BARAT,2008,168100
JAWA BARAT,2009,209270
JAWA BARAT,2010,166691
JAWA BARAT,2011,195383
JAWA BARAT,2012,201383
JAWA BARAT,2013,250914
JAWA BARAT,2014,253296
JAWA BARAT,2015,240865
JAWA BARAT,2016,242114
JAWA BARAT,2017,274311
JAWA BARAT,2018,274038
JAWA BARAT,2019,263949
JAWA BARAT,2020,266067
JAWA TENGAH,2000,
JAWA TENGAH,2001,
JAWA TENGAH,2002,
JAWA TENGAH,2003,97243
JAWA TENGAH,2004,111623
JAWA TENGAH,2005,98930
JAWA TENGAH,2006,124441
JAWA TENGAH,2007,91151
JAWA TENGAH,2008,100085
JAWA TENGAH,2009,139993
JAWA TENGAH,2010,134572
JAWA TENGAH,2011,119131
JAWA TENGAH,2012,130129
JAWA TENGAH,2013,145037
JAWA TENGAH,2014,167795
JAWA TENGAH,2015,168412
JAWA TENGAH,2016,164980
JAWA TENGAH,2017,195571
JAWA TENGAH,2018,171796
JAWA TENGAH,2019,164906
JAWA TENGAH,2020,166260
DI YOGYAKARTA,2000,
DI YOGYAKARTA,2001,
DI YOGYAKARTA,2002,
DI YOGYAKARTA,2003,17539
DI YOGYAKARTA,2004,12769
DI YOGYAKARTA,2005,18081
DI YOGYAKARTA,2006,12299
DI YOGYAKARTA,2007,10413
DI YOGYAKARTA,2008,13445
DI YOGYAKARTA,2009,15119
DI YOGYAKARTA,2010,13039
DI YOGYAKARTA,2011,14412
DI YOGYAKARTA,2012,16460
DI YOGYAKARTA,2013,17134
DI YOGYAKARTA,2014,17760
DI YOGYAKARTA,2015,23389
DI YOGYAKARTA,2016,24484
DI YOGYAKARTA,2017,29516
DI YOGYAKARTA,2018,34444
DI YOGYAKARTA,2019,32933
DI YOGYAKARTA,2020,44521
JAWA TIMUR,2000,
JAWA TIMUR,2001,
JAWA TIMUR,2002,
JAWA TIMUR,2003,82719
JAWA TIMUR,2004,78649
JAWA TIMUR,2005,60747
JAWA TIMUR,2006,75745
JAWA TIMUR,2007,73777
JAWA TIMUR,2008,63032
JAWA TIMUR,2009,65766
JAWA TIMUR,2010,71565
JAWA TIMUR,2011,73677
JAWA TIMUR,2012,99674
JAWA TIMUR,2013,101691
JAWA TIMUR,2014,111022
JAWA TIMUR,2015,91135
JAWA TIMUR,2016,95541
JAWA TIMUR,2017,100977
JAWA TIMUR,2018,91966
JAWA TIMUR,2019,104677
JAWA TIMUR,2020,99110
BANTEN,2000,
BANTEN,2001,
BANTEN,2002,
BANTEN,2003,5382
BANTEN,2004,5207
BANTEN,2005,6436
BANTEN,2006,5012
BANTEN,2007,6279
BANTEN,2008,4536
BANTEN,2009,4077
BANTEN,2010,4638
BANTEN,2011,3326
BANTEN,2012,6344
BANTEN,2013,5841
BANTEN,2014,6798
BANTEN,2015,6608
BANTEN,2016,8404
BANTEN,2017,6464
BANTEN,2018,6712
BANTEN,2019,7104
BANTEN,2020,6947
BALI,2000,
BALI,2001,
BALI,2002,
BALI,2003,16289
BALI,2004,9048
BALI,2005,7680
BALI,2006,8964
BALI,2007,6950
BALI,2008,8867
BALI,2009,12762
BALI,2010,13460
BALI,2011,14448
BALI,2012,13786
BALI,2013,15430
BALI,2014,20349
BALI,2015,14138
BALI,2016,12966
BALI,2017,12700
BALI,2018,13501
BALI,2019,10189
BALI,2020,8049
NUSA TENGGARA BARAT,2000,
NUSA TENGGARA BARAT,2001,
NUSA TENGGARA BARAT,2002,
NUSA TENGGARA BARAT,2003,2179
NUSA TENGGARA BARAT,2004,3904
NUSA TENGGARA BARAT,2005,1867
NUSA TENGGARA BARAT,2006,2699
NUSA TENGGARA BARAT,2007,4245
NUSA TENGGARA BARAT,2008,4037
NUSA TENGGARA BARAT,2009,4502
NUSA TENGGARA BARAT,2010,5780
NUSA TENGGARA BARAT,2011,6462
NUSA TENGGARA BARAT,2012,7183
NUSA TENGGARA BARAT,2013,6398
NUSA TENGGARA BARAT,2014,20652
NUSA TENGGARA BARAT,2015,11227
NUSA TENGGARA BARAT,2016,12041
NUSA TENGGARA BARAT,2017,31819
NUSA TENGGARA BARAT,2018,23997
NUSA TENGGARA BARAT,2019,17679
NUSA TENGGARA BARAT,2020,20092
NUSA TENGGARA TIMUR,2000,
NUSA TENGGARA TIMUR,2001,
NUSA TENGGARA TIMUR,2002,
NUSA TENGGARA TIMUR,2003,738
NUSA TENGGARA TIMUR,2004,1530
NUSA TENGGARA TIMUR,2005,1067
NUSA TENGGARA TIMUR,2006,1668
NUSA TENGGARA TIMUR,2007,2899
NUSA TENGGARA TIMUR,2008,3497
NUSA TENGGARA TIMUR,2009,4022
NUSA TENGGARA TIMUR,2010,2637
NUSA TENGGARA TIMUR,2011,3103
NUSA TENGGARA TIMUR,2012,2389
NUSA TENGGARA TIMUR,2013,1916
NUSA TENGGARA TIMUR,2014,1709
NUSA TENGGARA TIMUR,2015,1279
NUSA TENGGARA TIMUR,2016,1769
