Provinsi,Tahun,Daging_Ayam_Buras_Ton
ACEH,2000,10549
ACEH,2001,10940
ACEH,2002,12382
ACEH,2003,13186
ACEH,2004,10950
ACEH,2005,10175
ACEH,2006,17770
ACEH,2007,16864
ACEH,2008,3381.57
ACEH,2009,3847.07
ACEH,2010,4041.86
ACEH,2011,4821
ACEH,2012,4785
ACEH,2013,12694
ACEH,2014,12452
ACEH,2015,10869.51
ACEH,2016,11234.51
ACEH,2017,11739.07
ACEH,2018,11504.92
ACEH,2019,3893.89
ACEH,2020,5548.86
SUMATERA UTARA,2000,22860
SUMATERA UTARA,2001,23782
SUMATERA UTARA,2002,24741
SUMATERA UTARA,2003,24939
SUMATERA UTARA,2004,25927
SUMATERA UTARA,2005,23855
SUMATERA UTARA,2006,21956
SUMATERA UTARA,2007,17388
SUMATERA UTARA,2008,18057.26
SUMATERA UTARA,2009,12768.57
SUMATERA UTARA,2010,13734.64
SUMATERA UTARA,2011,12419
SUMATERA UTARA,2012,14314
SUMATERA UTARA,2013,18435
SUMATERA UTARA,2014,16648
SUMATERA UTARA,2015,16904.89
SUMATERA UTARA,2016,17831.07
SUMATERA UTARA,2017,18919.51
SUMATERA UTARA,2018,19278.84
SUMATERA UTARA,2019,18504.9
SUMATERA UTARA,2020,17852.9
SUMATERA BARAT,2000,8022
SUMATERA BARAT,2001,8156
SUMATERA BARAT,2002,8348
SUMATERA BARAT,2003,7366
SUMATERA BARAT,2004,8937
SUMATERA BARAT,2005,6613
SUMATERA BARAT,2006,6172
SUMATERA BARAT,2007,5506
SUMATERA BARAT,2008,4882.38
SUMATERA BARAT,2009,7193.12
SUMATERA BARAT,2010,5877.75
SUMATERA BARAT,2011,6152
SUMATERA BARAT,2012,6821
SUMATERA BARAT,2013,6027
SUMATERA BARAT,2014,6165
SUMATERA BARAT,2015,6292.52
SUMATERA BARAT,2016,6418.37
SUMATERA BARAT,2017,4968.09
SUMATERA BARAT,2018,4870.13
SUMATERA BARAT,2019,5118.62
SUMATERA BARAT,2020,5308.93
RIAU,2000,9772
RIAU,2001,5541
RIAU,2002,6750
RIAU,2003,7890
RIAU,2004,6969
RIAU,2005,8234
RIAU,2006,6186
RIAU,2007,3575
RIAU,2008,2413.5
RIAU,2009,3408
RIAU,2010,1165.61
RIAU,2011,4771
RIAU,2012,2702
RIAU,2013,3302
RIAU,2014,4044
RIAU,2015,5613.97
RIAU,2016,4178.66
RIAU,2017,4137.17
RIAU,2018,2975.46
RIAU,2019,3051.95
RIAU,2020,3112.99
JAMBI,2000,4451
JAMBI,2001,4013
JAMBI,2002,1756
JAMBI,2003,2759
JAMBI,2004,3371
JAMBI,2005,3999
JAMBI,2006,3313
JAMBI,2007,3326
JAMBI,2008,3267.49
JAMBI,2009,3366.25
JAMBI,2010,2500.44
JAMBI,2011,2217
JAMBI,2012,7780
JAMBI,2013,8411
JAMBI,2014,5791
JAMBI,2015,7788.4
