Provinsi,Tahun,Daging_Ayam_Pedaging_Ton
ACEH,2000,937
ACEH,2001,954
ACEH,2002,971
ACEH,2003,1159
ACEH,2004,1081
ACEH,2005,1533
ACEH,2006,1395
ACEH,2007,1581
ACEH,2008,3629
ACEH,2009,4746.04
ACEH,2010,4981.95
ACEH,2011,6439
ACEH,2012,8567
ACEH,2013,4045
ACEH,2014,4421
ACEH,2015,6106.72
ACEH,2016,6428.65
ACEH,2017,15130.75
ACEH,2018,18278.78
ACEH,2019,36748.34
ACEH,2020,34437.67
SUMATERA UTARA,2000,25011
SUMATERA UTARA,2001,7572
SUMATERA UTARA,2002,35382
SUMATERA UTARA,2003,45581
SUMATERA UTARA,2004,44688
SUMATERA UTARA,2005,41778
SUMATERA UTARA,2006,39055
SUMATERA UTARA,2007,35098
SUMATERA UTARA,2008,35283
SUMATERA UTARA,2009,50631.97
SUMATERA UTARA,2010,53979.15
SUMATERA UTARA,2011,47051
SUMATERA UTARA,2012,35168
SUMATERA UTARA,2013,37836
SUMATERA UTARA,2014,38752
SUMATERA UTARA,2015,40902.39
SUMATERA UTARA,2016,42814.83
SUMATERA UTARA,2017,199760.58
SUMATERA UTARA,2018,189271.38
SUMATERA UTARA,2019,151595.6
SUMATERA UTARA,2020,142063.55
SUMATERA BARAT,2000,950
SUMATERA BARAT,2001,8526
SUMATERA BARAT,2002,8706
SUMATERA BARAT,2003,9826
SUMATERA BARAT,2004,13662
SUMATERA BARAT,2005,12119
SUMATERA BARAT,2006,11602
SUMATERA BARAT,2007,12439
SUMATERA BARAT,2008,13275
SUMATERA BARAT,2009,16145.03
SUMATERA BARAT,2010,16012.32
SUMATERA BARAT,2011,16441
SUMATERA BARAT,2012,17434
SUMATERA BARAT,2013,16704
SUMATERA BARAT,2014,19493
SUMATERA BARAT,2015,20063.15
SUMATERA BARAT,2016,20437.61
SUMATERA BARAT,2017,67627.67
SUMATERA BARAT,2018,71105.6
SUMATERA BARAT,2019,63834.6
SUMATERA BARAT,2020,59820.8
RIAU,2000,14386
RIAU,2001,12328
RIAU,2002,27103
RIAU,2003,28928
RIAU,2004,27517
RIAU,2005,21004
RIAU,2006,19015
RIAU,2007,23059
RIAU,2008,28082
RIAU,2009,28326
RIAU,2010,38082.52
RIAU,2011,34910
RIAU,2012,37021
RIAU,2013,42557
RIAU,2014,40732
RIAU,2015,45307.62
RIAU,2016,47575.1
RIAU,2017,94109.64
RIAU,2018,90942.85
RIAU,2019,106817.03
RIAU,2020,100100.57
JAMBI,2000,6367
JAMBI,2001,4895
JAMBI,2002,8564
JAMBI,2003,10049
JAMBI,2004,10092
JAMBI,2005,9909
JAMBI,2006,9290
JAMBI,2007,14536
JAMBI,2008,12459
JAMBI,2009,14129.03
JAMBI,2010,14802.46
JAMBI,2011,13360
JAMBI,2012,30677
JAMBI,2013,15861
JAMBI,2014,13793
JAMBI,2015,13075.18
JAMBI,2016,12599.23
JAMBI,2017,44383.56
JAMBI,2018,57161.97
JAMBI,2019,40212.04
JAMBI,2020,37683.59
SUMATERA SELATAN,2000,10560
SUMATERA SELATAN,2001,10678
SUMATERA SELATAN,2002,11278
SUMATERA SELATAN,2003,10885
SUMATERA SELATAN,2004,11706
SUMATERA SELATAN,2005,11708
SUMATERA SELATAN,2006,13532
SUMATERA SELATAN,2007,21176
SUMATERA SELATAN,2008,22185
SUMATERA SELATAN,2009,22116.38
SUMATERA SELATAN,2010,26.94
SUMATERA SELATAN,2011,31
SUMATERA SELATAN,2012,28185
SUMATERA SELATAN,2013,30447
SUMATERA SELATAN,2014,29997
SUMATERA SELATAN,2015,33318.39
SUMATERA SELATAN,2016,36356.56
SUMATERA SELATAN,2017,98786.57
SUMATERA SELATAN,2018,114469.73
SUMATERA SELATAN,2019,95852.67
SUMATERA SELATAN,2020,89825.64
BENGKULU,2000,2152
BENGKULU,2001,2046
BENGKULU,2002,2740
BENGKULU,2003,1439
BENGKULU,2004,2165
BENGKULU,2005,2268
BENGKULU,2006,1642
BENGKULU,2007,1577
BENGKULU,2008,2132
BENGKULU,2009,3838.77
BENGKULU,2010,1837.88
BENGKULU,2011,2358
BENGKULU,2012,1996
BENGKULU,2013,2079
BENGKULU,2014,1706
BENGKULU,2015,1578.88
BENGKULU,2016,4734.71
BENGKULU,2017,5758.39
BENGKULU,2018,7106.74
BENGKULU,2019,9490.58
BENGKULU,2020,8893.83
LAMPUNG,2000,12270
LAMPUNG,2001,13112
LAMPUNG,2002,13435
LAMPUNG,2003,13292
LAMPUNG,2004,18816
LAMPUNG,2005,19170
LAMPUNG,2006,19724
LAMPUNG,2007,12937
LAMPUNG,2008,10542
LAMPUNG,2009,22106.82
LAMPUNG,2010,26768.23
LAMPUNG,2011,27149
LAMPUNG,2012,31453
LAMPUNG,2013,41623
LAMPUNG,2014,32237
LAMPUNG,2015,33353.59
LAMPUNG,2016,33785.87
LAMPUNG,2017,94134.93
LAMPUNG,2018,87112.35
LAMPUNG,2019,99773.39
LAMPUNG,2020,93499.82
KEP. BANGKA BELITUNG,2000,0
KEP. BANGKA BELITUNG,2001,1911
KEP. BANGKA BELITUNG,2002,2121
KEP. BANGKA BELITUNG,2003,2057
KEP. BANGKA BELITUNG,2004,2195
KEP. BANGKA BELITUNG,2005,5052
KEP. BANGKA BELITUNG,2006,4795
KEP. BANGKA BELITUNG,2007,6007
KEP. BANGKA BELITUNG,2008,5292
KEP. BANGKA BELITUNG,2009,6492.06
KEP. BANGKA BELITUNG,2010,10897.85
KEP. BANGKA BELITUNG,2011,13368
KEP. BANGKA BELITUNG,2012,13033
KEP. BANGKA BELITUNG,2013,14194
KEP. BANGKA BELITUNG,2014,16714
KEP. BANGKA BELITUNG,2015,14838.05
KEP. BANGKA BELITUNG,2016,15656.59
KEP. BANGKA BELITUNG,2017,20788.4
KEP. BANGKA BELITUNG,2018,23430.59
KEP. BANGKA BELITUNG,2019,21949.59
KEP. BANGKA BELITUNG,2020,20569.44
KEP. RIAU,2000,0
KEP. RIAU,2001,0
KEP. RIAU,2002,
KEP. RIAU,2003,
KEP. RIAU,2004,
KEP. RIAU,2005,376
KEP. RIAU,2006,5700
KEP. RIAU,2007,5858
KEP. RIAU,2008,5975
KEP. RIAU,2009,5751.91
KEP. RIAU,2010,5917.22
KEP. RIAU,2011,6155
KEP. RIAU,2012,7347
KEP. RIAU,2013,7291
KEP. RIAU,2014,8633
KEP. RIAU,2015,8586.06
KEP. RIAU,2016,8726.02
KEP. RIAU,2017,19314.45
KEP. RIAU,2018,20656.44
KEP. RIAU,2019,26296.67
KEP. RIAU,2020,24643.18
DKI JAKARTA,2000,86085
DKI JAKARTA,2001,75627
DKI JAKARTA,2002,72864
DKI JAKARTA,2003,78770
DKI JAKARTA,2004,88089
DKI JAKARTA,2005,67054
DKI JAKARTA,2006,83768
DKI JAKARTA,2007,128480
DKI JAKARTA,2008,128480
DKI JAKARTA,2009,102398.56
DKI JAKARTA,2010,106260.23
DKI JAKARTA,2011,108642
DKI JAKARTA,2012,117913
DKI JAKARTA,2013,129206
DKI JAKARTA,2014,102794
DKI JAKARTA,2015,129315.21
DKI JAKARTA,2016,138088.5
DKI JAKARTA,2017,8116.13
DKI JAKARTA,2018,7279.69
DKI JAKARTA,2019,0
DKI JAKARTA,2020,0
JAWA BARAT,2000,157727
JAWA BARAT,2001,163847
JAWA BARAT,2002,216632
JAWA BARAT,2003,242990
JAWA BARAT,2004,263397
JAWA BARAT,2005,259749
JAWA BARAT,2006,276195
JAWA BARAT,2007,279851
JAWA BARAT,2008,335151
JAWA BARAT,2009,365572.89
JAWA BARAT,2010,399744.77
JAWA BARAT,2011,492413
JAWA BARAT,2012,498862
JAWA BARAT,2013,563529
JAWA BARAT,2014,543765
JAWA BARAT,2015,530423.41
JAWA BARAT,2016,719820.36
JAWA BARAT,2017,681781.83
JAWA BARAT,2018,824405.26
JAWA BARAT,2019,894386.29
JAWA BARAT,2020,838148.94
JAWA TENGAH,2000,58777
JAWA TENGAH,2001,53661
JAWA TENGAH,2002,81676
JAWA TENGAH,2003,66947
JAWA TENGAH,2004,63592
JAWA TENGAH,2005,61683
JAWA TENGAH,2006,81203
JAWA TENGAH,2007,65026
JAWA TENGAH,2008,73191
JAWA TENGAH,2009,90740.13
JAWA TENGAH,2010,100903.98
JAWA TENGAH,2011,104774
JAWA TENGAH,2012,114178
JAWA TENGAH,2013,123726
JAWA TENGAH,2014,130357
JAWA TENGAH,2015,158672.66
JAWA TENGAH,2016,187965.02
JAWA TENGAH,2017,498751.42
JAWA TENGAH,2018,543754.32
JAWA TENGAH,2019,681384.13
JAWA TENGAH,2020,638539.96
DI YOGYAKARTA,2000,9948
DI YOGYAKARTA,2001,8467
DI YOGYAKARTA,2002,20994
DI YOGYAKARTA,2003,19115
DI YOGYAKARTA,2004,18561
DI YOGYAKARTA,2005,14997
DI YOGYAKARTA,2006,23000
DI YOGYAKARTA,2007,22203
DI YOGYAKARTA,2008,23117
DI YOGYAKARTA,2009,20797.87
DI YOGYAKARTA,2010,25273.84
DI YOGYAKARTA,2011,31295
DI YOGYAKARTA,2012,5640
DI YOGYAKARTA,2013,32581
DI YOGYAKARTA,2014,37367
DI YOGYAKARTA,2015,35535.8
DI YOGYAKARTA,2016,34627.34
DI YOGYAKARTA,2017,14004.88
DI YOGYAKARTA,2018,26483.88
DI YOGYAKARTA,2019,56504.35
DI YOGYAKARTA,2020,52951.46
JAWA TIMUR,2000,72664
JAWA TIMUR,2001,74008
JAWA TIMUR,2002,101520
JAWA TIMUR,2003,142336
JAWA TIMUR,2004,162781
JAWA TIMUR,2005,128342
JAWA TIMUR,2006,143643
JAWA TIMUR,2007,148855
JAWA TIMUR,2008,115193
JAWA TIMUR,2009,140109.89
JAWA TIMUR,2010,159671.24
JAWA TIMUR,2011,159822
JAWA TIMUR,2012,162845
JAWA TIMUR,2013,162892
JAWA TIMUR,2014,198016
JAWA TIMUR,2015,203139.21
JAWA TIMUR,2016,219833.24
JAWA TIMUR,2017,472079.96
JAWA TIMUR,2018,480309.46
JAWA TIMUR,2019,506731.16
JAWA TIMUR,2020,474868.84
BANTEN,2000,0
BANTEN,2001,37289
BANTEN,2002,89495
BANTEN,2003,17752
BANTEN,2004,23431
BANTEN,2005,16542
BANTEN,2006,6970
BANTEN,2007,29751
BANTEN,2008,69333
BANTEN,2009,53089.16
BANTEN,2010,86089.07
BANTEN,2011,114568
BANTEN,2012,111159
BANTEN,2013,109029
BANTEN,2014,96554
BANTEN,2015,73488.06
BANTEN,2016,87216.62
BANTEN,2017,284380.72
BANTEN,2018,285064.79
