Provinsi,Tahun,Daging_Ayam_Petelur_Ton
ACEH,2000,148
ACEH,2001,140
ACEH,2002,
ACEH,2003,2
ACEH,2004,34
ACEH,2005,44
ACEH,2006,79
ACEH,2007,125
ACEH,2008,332
ACEH,2009,431.68
ACEH,2010,453.27
ACEH,2011,1321
ACEH,2012,1361
ACEH,2013,196
ACEH,2014,169
ACEH,2015,274.32
ACEH,2016,330.75
ACEH,2017,355.16
ACEH,2018,625.16
ACEH,2019,1825.66
ACEH,2020,7.37
SUMATERA UTARA,2000,6610
SUMATERA UTARA,2001,35382
SUMATERA UTARA,2002,7724
SUMATERA UTARA,2003,8439
SUMATERA UTARA,2004,8270
SUMATERA UTARA,2005,3677
SUMATERA UTARA,2006,2587
SUMATERA UTARA,2007,4880
SUMATERA UTARA,2008,5834
SUMATERA UTARA,2009,4595.77
SUMATERA UTARA,2010,4832.04
SUMATERA UTARA,2011,5251
SUMATERA UTARA,2012,8501
SUMATERA UTARA,2013,11074
SUMATERA UTARA,2014,10463
SUMATERA UTARA,2015,10723.86
SUMATERA UTARA,2016,11135.16
SUMATERA UTARA,2017,11527.27
SUMATERA UTARA,2018,18397.5
SUMATERA UTARA,2019,18512.51
SUMATERA UTARA,2020,15715.79
SUMATERA BARAT,2000,712
SUMATERA BARAT,2001,1523
SUMATERA BARAT,2002,1894
SUMATERA BARAT,2003,2589
SUMATERA BARAT,2004,2935
SUMATERA BARAT,2005,3085
SUMATERA BARAT,2006,3424
SUMATERA BARAT,2007,4686
SUMATERA BARAT,2008,4650
SUMATERA BARAT,2009,5255.56
SUMATERA BARAT,2010,3459.81
SUMATERA BARAT,2011,5692
SUMATERA BARAT,2012,4878
SUMATERA BARAT,2013,6218
SUMATERA BARAT,2014,6126
SUMATERA BARAT,2015,6157.59
SUMATERA BARAT,2016,6081.86
SUMATERA BARAT,2017,6731.36
SUMATERA BARAT,2018,7811.27
SUMATERA BARAT,2019,11514.16
SUMATERA BARAT,2020,12264.14
RIAU,2000,665
RIAU,2001,332
RIAU,2002,306
RIAU,2003,295
RIAU,2004,155
RIAU,2005,236
RIAU,2006,193
RIAU,2007,352
RIAU,2008,621
RIAU,2009,273
RIAU,2010,27.93
RIAU,2011,133
RIAU,2012,13
RIAU,2013,24
RIAU,2014,502
RIAU,2015,1262.18
RIAU,2016,499.18
RIAU,2017,929.57
RIAU,2018,589.06
RIAU,2019,1101.65
RIAU,2020,1123.68
JAMBI,2000,73
JAMBI,2001,59
JAMBI,2002,300
JAMBI,2003,167
JAMBI,2004,176
JAMBI,2005,261
JAMBI,2006,190
JAMBI,2007,107
JAMBI,2008,99
JAMBI,2009,132.5
JAMBI,2010,356.51
JAMBI,2011,459
JAMBI,2012,358
JAMBI,2013,634
JAMBI,2014,2098
JAMBI,2015,2117.63
JAMBI,2016,2192.2
JAMBI,2017,2009.81
JAMBI,2018,2022.96
JAMBI,2019,1301.11
JAMBI,2020,1385.86
SUMATERA SELATAN,2000,364
