Provinsi,Tahun,Daging_Sapi_Ton
ACEH,2000,5927
ACEH,2001,6065
ACEH,2002,6335
ACEH,2003,6488
ACEH,2004,6635
ACEH,2005,7171.81
ACEH,2006,11601.36
ACEH,2007,12146
ACEH,2008,7322
ACEH,2009,7614
ACEH,2010,7914
ACEH,2011,8303
ACEH,2012,6569
ACEH,2013,8747
ACEH,2014,8814
ACEH,2015,10047.57
ACEH,2016,10400.81
ACEH,2017,8550.28
ACEH,2018,11524.28
ACEH,2019,10416.2
ACEH,2020,10740.15
SUMATERA UTARA,2000,6823
SUMATERA UTARA,2001,6827
SUMATERA UTARA,2002,6836
SUMATERA UTARA,2003,6894
SUMATERA UTARA,2004,6982
SUMATERA UTARA,2005,9883.73
SUMATERA UTARA,2006,10131.68
SUMATERA UTARA,2007,9341
SUMATERA UTARA,2008,16261
SUMATERA UTARA,2009,13261
SUMATERA UTARA,2010,14256
SUMATERA UTARA,2011,18299
SUMATERA UTARA,2012,24547
SUMATERA UTARA,2013,18437
SUMATERA UTARA,2014,22656
SUMATERA UTARA,2015,23407.97
SUMATERA UTARA,2016,25571.07
SUMATERA UTARA,2017,26297.65
SUMATERA UTARA,2018,15240.33
SUMATERA UTARA,2019,14153.16
SUMATERA UTARA,2020,14569.88
SUMATERA BARAT,2000,9707
SUMATERA BARAT,2001,10621
SUMATERA BARAT,2002,10086
SUMATERA BARAT,2003,12142
SUMATERA BARAT,2004,13544
SUMATERA BARAT,2005,14715.56
SUMATERA BARAT,2006,15561.67
SUMATERA BARAT,2007,14774
SUMATERA BARAT,2008,16026
SUMATERA BARAT,2009,18322
SUMATERA BARAT,2010,20442
SUMATERA BARAT,2011,20287
SUMATERA BARAT,2012,22638
SUMATERA BARAT,2013,23099
SUMATERA BARAT,2014,24943
SUMATERA BARAT,2015,26007.15
SUMATERA BARAT,2016,26440.92
SUMATERA BARAT,2017,20206.48
SUMATERA BARAT,2018,20298.94
SUMATERA BARAT,2019,21589.63
SUMATERA BARAT,2020,22021.89
RIAU,2000,2085
RIAU,2001,2880
RIAU,2002,4495
RIAU,2003,4648
RIAU,2004,3754
RIAU,2005,4593.18
RIAU,2006,6860.77
RIAU,2007,5640
RIAU,2008,6222
RIAU,2009,7294
RIAU,2010,10950
RIAU,2011,12658
RIAU,2012,11317
RIAU,2013,8243
RIAU,2014,9298
RIAU,2015,8676.7
RIAU,2016,9396.29
RIAU,2017,7700.43
RIAU,2018,9792.53
RIAU,2019,8379.1
RIAU,2020,8611.02
JAMBI,2000,3787
JAMBI,2001,3892
JAMBI,2002,2332
JAMBI,2003,3729
JAMBI,2004,2884
JAMBI,2005,2854.6
JAMBI,2006,2956.06
JAMBI,2007,3164
JAMBI,2008,3558
JAMBI,2009,3868
JAMBI,2010,6349
JAMBI,2011,6515
JAMBI,2012,6507
JAMBI,2013,4386
JAMBI,2014,4329
JAMBI,2015,4654.22
JAMBI,2016,4386.38
JAMBI,2017,4085.1
JAMBI,2018,4540.06
JAMBI,2019,5026.46
JAMBI,2020,5094.19
SUMATERA SELATAN,2000,9737
SUMATERA SELATAN,2001,9750
SUMATERA SELATAN,2002,9970
SUMATERA SELATAN,2003,9623
SUMATERA SELATAN,2004,8704
SUMATERA SELATAN,2005,8705
SUMATERA SELATAN,2006,11358.51
SUMATERA SELATAN,2007,8887
SUMATERA SELATAN,2008,9630
SUMATERA SELATAN,2009,12482
SUMATERA SELATAN,2010,12703
SUMATERA SELATAN,2011,13601
SUMATERA SELATAN,2012,14649
SUMATERA SELATAN,2013,14496
SUMATERA SELATAN,2014,15281
SUMATERA SELATAN,2015,16689.35
SUMATERA SELATAN,2016,17878.73
SUMATERA SELATAN,2017,12666.1
SUMATERA SELATAN,2018,11261.05
SUMATERA SELATAN,2019,11455.31
SUMATERA SELATAN,2020,11615.04
BENGKULU,2000,1539
BENGKULU,2001,1540
BENGKULU,2002,1692
BENGKULU,2003,17486
BENGKULU,2004,1633
BENGKULU,2005,1425.07
BENGKULU,2006,1127.18
BENGKULU,2007,1388
BENGKULU,2008,1905
BENGKULU,2009,2411
BENGKULU,2010,2691
BENGKULU,2011,3276
BENGKULU,2012,3761
BENGKULU,2013,4222
BENGKULU,2014,3106
BENGKULU,2015,3364.73
BENGKULU,2016,3056.96
BENGKULU,2017,2587.24
BENGKULU,2018,2471.91
BENGKULU,2019,2587.44
BENGKULU,2020,3149.1
LAMPUNG,2000,4799
LAMPUNG,2001,4897
LAMPUNG,2002,5288
LAMPUNG,2003,6638
LAMPUNG,2004,6768
LAMPUNG,2005,6848.16
LAMPUNG,2006,6848.89
LAMPUNG,2007,3155
LAMPUNG,2008,10670
LAMPUNG,2009,10694
LAMPUNG,2010,9527
LAMPUNG,2011,10064
LAMPUNG,2012,9833
LAMPUNG,2013,14099
LAMPUNG,2014,13074
LAMPUNG,2015,12336.75
LAMPUNG,2016,12609.07
LAMPUNG,2017,12998.57
LAMPUNG,2018,13332.35
LAMPUNG,2019,14326.19
LAMPUNG,2020,13522.13
KEP. BANGKA BELITUNG,2000,
KEP. BANGKA BELITUNG,2001,29
KEP. BANGKA BELITUNG,2002,1042
KEP. BANGKA BELITUNG,2003,877
KEP. BANGKA BELITUNG,2004,1269
KEP. BANGKA BELITUNG,2005,1351.05
KEP. BANGKA BELITUNG,2006,2740.7
KEP. BANGKA BELITUNG,2007,1628
KEP. BANGKA BELITUNG,2008,1658
KEP. BANGKA BELITUNG,2009,2004
KEP. BANGKA BELITUNG,2010,3024
KEP. BANGKA BELITUNG,2011,3932
KEP. BANGKA BELITUNG,2012,2917
KEP. BANGKA BELITUNG,2013,2966
KEP. BANGKA BELITUNG,2014,3427
KEP. BANGKA BELITUNG,2015,2538.73
KEP. BANGKA BELITUNG,2016,2316.67
KEP. BANGKA BELITUNG,2017,2601.43
KEP. BANGKA BELITUNG,2018,3065.93
KEP. BANGKA BELITUNG,2019,3212.58
KEP. BANGKA BELITUNG,2020,3015.31
KEP. RIAU,2000,
KEP. RIAU,2001,
KEP. RIAU,2002,
KEP. RIAU,2003,
KEP. RIAU,2004,
KEP. RIAU,2005,976.96
KEP. RIAU,2006,954.19
KEP. RIAU,2007,776
KEP. RIAU,2008,794
KEP. RIAU,2009,579
KEP. RIAU,2010,450
KEP. RIAU,2011,532
KEP. RIAU,2012,585
KEP. RIAU,2013,556
KEP. RIAU,2014,2663
KEP. RIAU,2015,2660.9
KEP. RIAU,2016,2668.8
KEP. RIAU,2017,1470.16
KEP. RIAU,2018,1164.33
KEP. RIAU,2019,1384.08
KEP. RIAU,2020,1400.91
DKI JAKARTA,2000,14282
DKI JAKARTA,2001,14888
DKI JAKARTA,2002,13719
DKI JAKARTA,2003,16610
DKI JAKARTA,2004,13045
DKI JAKARTA,2005,10060.83
DKI JAKARTA,2006,8505.41
