Provinsi,Tahun,Kelapa_Sawit_Ton
ACEH,2008,564700
ACEH,2009,693000
ACEH,2010,616500
ACEH,2011,592200
ACEH,2012,654800
ACEH,2013,817530
ACEH,2014,945600
ACEH,2015,896300
ACEH,2016,732700
ACEH,2017,867300
ACEH,2018,1037400
ACEH,2019,1133300
ACEH,2020,1134600
SUMATERA UTARA,2008,3882400
SUMATERA UTARA,2009,3862400
SUMATERA UTARA,2010,3899600
SUMATERA UTARA,2011,4010700
SUMATERA UTARA,2012,3975430
SUMATERA UTARA,2013,4549200
SUMATERA UTARA,2014,4870200
SUMATERA UTARA,2015,5193100
SUMATERA UTARA,2016,3983700
SUMATERA UTARA,2017,4852000
SUMATERA UTARA,2018,5737300
SUMATERA UTARA,2019,5647300
SUMATERA UTARA,2020,5776800
SUMATERA BARAT,2008,961500
SUMATERA BARAT,2009,896300
SUMATERA BARAT,2010,985900
SUMATERA BARAT,2011,927400
SUMATERA BARAT,2012,930120
SUMATERA BARAT,2013,1022330
SUMATERA BARAT,2014,924800
SUMATERA BARAT,2015,926600
SUMATERA BARAT,2016,1183100
SUMATERA BARAT,2017,1209200
SUMATERA BARAT,2018,1248300
SUMATERA BARAT,2019,1253400
SUMATERA BARAT,2020,1312300
RIAU,2008,4812900
RIAU,2009,5311400
RIAU,2010,5496000
RIAU,2011,5895500
RIAU,2012,6384540
RIAU,2013,6647000
RIAU,2014,6993200
RIAU,2015,8059800
RIAU,2016,7668100
RIAU,2017,7591200
RIAU,2018,8496000
RIAU,2019,9512900
RIAU,2020,9984300
JAMBI,2008,1626500
JAMBI,2009,1499900
JAMBI,2010,1644100
JAMBI,2011,1773100
JAMBI,2012,1718290
JAMBI,2013,1749620
JAMBI,2014,1773700
JAMBI,2015,1794900
JAMBI,2016,1435100
JAMBI,2017,1783000
JAMBI,2018,2691300
JAMBI,2019,2884400
JAMBI,2020,3022600
SUMATERA SELATAN,2008,1891400
SUMATERA SELATAN,2009,2313500
SUMATERA SELATAN,2010,2542800
SUMATERA SELATAN,2011,2417700
SUMATERA SELATAN,2012,2492900
SUMATERA SELATAN,2013,2690620
SUMATERA SELATAN,2014,2791800
SUMATERA SELATAN,2015,2821900
SUMATERA SELATAN,2016,2929500
SUMATERA SELATAN,2017,2987000
SUMATERA SELATAN,2018,3793600
SUMATERA SELATAN,2019,4049200
SUMATERA SELATAN,2020,4267000
BENGKULU,2008,560300
BENGKULU,2009,736000
BENGKULU,2010,796000
BENGKULU,2011,827100
BENGKULU,2012,802020
BENGKULU,2013,787050
BENGKULU,2014,798800
BENGKULU,2015,747500
BENGKULU,2016,750200
BENGKULU,2017,849700
BENGKULU,2018,1047700
BENGKULU,2019,1032100
BENGKULU,2020,1063400
LAMPUNG,2008,416300
LAMPUNG,2009,389300
LAMPUNG,2010,405700
LAMPUNG,2011,424000
LAMPUNG,2012,433820
LAMPUNG,2013,424050
LAMPUNG,2014,455900
LAMPUNG,2015,434300
LAMPUNG,2016,425900
LAMPUNG,2017,456000
LAMPUNG,2018,487200
