Provinsi,Tahun,Padi_Ton
ACEH,2000,1404580.00
ACEH,2001,1246614.00
ACEH,2002,1314165.00
ACEH,2003,1547499.00
ACEH,2004,1552078.00
ACEH,2005,1411650.00
ACEH,2006,1350748.00
ACEH,2007,1533369.00
ACEH,2008,1402287.00
ACEH,2009,1556858.00
ACEH,2010,1582393.00
ACEH,2011,1772962.00
ACEH,2012,1788738.00
ACEH,2013,1956940.00
ACEH,2014,1820062.00
ACEH,2015,2331046.00
ACEH,2018,1861567.10
ACEH,2019,1714437.60
ACEH,2020,1757313.07
ACEH,2021,1676935.87
SUMATERA UTARA,2000,3514253.00
SUMATERA UTARA,2001,3291515.00
SUMATERA UTARA,2002,3153305.00
SUMATERA UTARA,2003,3403075.00
SUMATERA UTARA,2004,3418782.00
SUMATERA UTARA,2005,3447394.00
SUMATERA UTARA,2006,3007636.00
SUMATERA UTARA,2007,3265834.00
SUMATERA UTARA,2008,3340794.00
SUMATERA UTARA,2009,3527899.00
SUMATERA UTARA,2010,3582302.00
SUMATERA UTARA,2011,3607403.00
SUMATERA UTARA,2012,3715514.00
SUMATERA UTARA,2013,3727249.00
SUMATERA UTARA,2014,3631039.00
SUMATERA UTARA,2015,4044829.00
SUMATERA UTARA,2018,2108284.72
SUMATERA UTARA,2019,2078901.59
SUMATERA UTARA,2020,2040500.19
SUMATERA UTARA,2021,2074855.91
SUMATERA BARAT,2000,1759059.00
SUMATERA BARAT,2001,1668955.00
SUMATERA BARAT,2002,1875834.00
SUMATERA BARAT,2003,1823739.00
SUMATERA BARAT,2004,1875188.00
SUMATERA BARAT,2005,1907390.00
SUMATERA BARAT,2006,1889489.00
SUMATERA BARAT,2007,1938120.00
SUMATERA BARAT,2008,1965634.00
SUMATERA BARAT,2009,2105790.00
SUMATERA BARAT,2010,2211248.00
SUMATERA BARAT,2011,2279602.00
SUMATERA BARAT,2012,2368390.00
SUMATERA BARAT,2013,2430384.00
SUMATERA BARAT,2014,2519020.00
SUMATERA BARAT,2015,2550609.00
SUMATERA BARAT,2018,1483076.48
SUMATERA BARAT,2019,1482996.01
SUMATERA BARAT,2020,1387269.29
SUMATERA BARAT,2021,1361769.15
RIAU,2000,431351.00
RIAU,2001,413391.00
RIAU,2002,396644.00
RIAU,2003,414237.00
RIAU,2004,454186.00
RIAU,2005,424095.00
RIAU,2006,42938.00
RIAU,2007,490087.00
RIAU,2008,494260.00
RIAU,2009,531429.00
RIAU,2010,574864.00
RIAU,2011,535788.00
RIAU,2012,512152.00
RIAU,2013,434144.00
RIAU,2014,385475.00
RIAU,2015,393917.00
RIAU,2018,266375.53
RIAU,2019,230873.97
RIAU,2020,243685.04
RIAU,2021,223399.47
JAMBI,2000,536779.00
JAMBI,2001,556564.00
JAMBI,2002,561007.00
JAMBI,2003,578346.00
JAMBI,2004,579404.00
JAMBI,2005,579635.00
JAMBI,2006,544597.00
JAMBI,2007,58663.00
JAMBI,2008,581704.00
JAMBI,2009,644947.00
JAMBI,2010,628828.00
JAMBI,2011,646641.00
JAMBI,2012,625164.00
JAMBI,2013,664535.00
JAMBI,2014,664720.00
JAMBI,2015,541486.00
JAMBI,2018,383045.74
JAMBI,2019,309932.68
JAMBI,2020,386413.49
JAMBI,2021,316816.81
SUMATERA SELATAN,2000,1863643.00
SUMATERA SELATAN,2001,1723433.00
SUMATERA SELATAN,2002,1899849.00
SUMATERA SELATAN,2003,1977345.00
SUMATERA SELATAN,2004,2260794.00
SUMATERA SELATAN,2005,2320110.00
SUMATERA SELATAN,2006,2456251.00
SUMATERA SELATAN,2007,2753044.00
SUMATERA SELATAN,2008,2971286.00
SUMATERA SELATAN,2009,3125236.00
SUMATERA SELATAN,2010,3272451.00
SUMATERA SELATAN,2011,3384670.00
SUMATERA SELATAN,2012,3295247.00
SUMATERA SELATAN,2013,3676723.00
SUMATERA SELATAN,2014,3670435.00
SUMATERA SELATAN,2015,4247922.00
SUMATERA SELATAN,2018,2994191.84
SUMATERA SELATAN,2019,2603396.24
SUMATERA SELATAN,2020,2743059.68
SUMATERA SELATAN,2021,2540944.30
BENGKULU,2000,362979.00
BENGKULU,2001,376973.00
BENGKULU,2002,379818.00
BENGKULU,2003,413375.00
BENGKULU,2004,414741.00
BENGKULU,2005,441276.00
BENGKULU,2006,378377.00
BENGKULU,2007,470469.00
BENGKULU,2008,484900.00
BENGKULU,2009,510160.00
BENGKULU,2010,516869.00
BENGKULU,2011,502552.00
BENGKULU,2012,581910.00
BENGKULU,2013,622832.00
BENGKULU,2014,593194.00
BENGKULU,2015,578654.00
BENGKULU,2018,288810.52
BENGKULU,2019,296472.07
BENGKULU,2020,292834.04
BENGKULU,2021,272772.61
LAMPUNG,2000,1946406.00
LAMPUNG,2001,1992726.00
LAMPUNG,2002,1951109.00
LAMPUNG,2003,1966293.00
LAMPUNG,2004,2091996.00
LAMPUNG,2005,2124144.00
LAMPUNG,2006,2129914.00
LAMPUNG,2007,2308404.00
LAMPUNG,2008,2341075.00
LAMPUNG,2009,2673844.00
LAMPUNG,2010,2807676.00
LAMPUNG,2011,2940795.00
LAMPUNG,2012,3101455.00
LAMPUNG,2013,3207002.00
LAMPUNG,2014,3320064.00
LAMPUNG,2015,3641895.00
LAMPUNG,2018,2488641.91
LAMPUNG,2019,2164089.33
LAMPUNG,2020,2650289.64
LAMPUNG,2021,2472587.06
KEP. BANGKA BELITUNG,2000,
KEP. BANGKA BELITUNG,2001,16430.00
KEP. BANGKA BELITUNG,2002,10317.00
KEP. BANGKA BELITUNG,2003,12173.00
KEP. BANGKA BELITUNG,2004,18763.00
KEP. BANGKA BELITUNG,2005,19027.00
KEP. BANGKA BELITUNG,2006,16506.00
KEP. BANGKA BELITUNG,2007,2439.00
KEP. BANGKA BELITUNG,2008,15079.00
KEP. BANGKA BELITUNG,2009,19864.00
KEP. BANGKA BELITUNG,2010,22259.00
KEP. BANGKA BELITUNG,2011,15211.00
KEP. BANGKA BELITUNG,2012,22395.00
KEP. BANGKA BELITUNG,2013,28480.00
KEP. BANGKA BELITUNG,2014,23481.00
KEP. BANGKA BELITUNG,2015,27068.00
KEP. BANGKA BELITUNG,2018,45724.69
KEP. BANGKA BELITUNG,2019,48805.68
KEP. BANGKA BELITUNG,2020,57324.32
KEP. BANGKA BELITUNG,2021,69720.93
KEP. RIAU,2000,
KEP. RIAU,2001,
KEP. RIAU,2002,
KEP. RIAU,2003,
KEP. RIAU,2004,
KEP. RIAU,2005,312.00
KEP. RIAU,2006,332.00
KEP. RIAU,2007,343.00
KEP. RIAU,2008,404.00
KEP. RIAU,2009,430.00
KEP. RIAU,2010,1246.00
KEP. RIAU,2011,1223.00
KEP. RIAU,2012,1323.00
KEP. RIAU,2013,1370.00
KEP. RIAU,2014,1403.00
KEP. RIAU,2015,959.00
KEP. RIAU,2018,1097.00
KEP. RIAU,2019,1150.80
KEP. RIAU,2020,852.54
KEP. RIAU,2021,961.52
DKI JAKARTA,2000,16275.00
DKI JAKARTA,2001,16886.00
DKI JAKARTA,2002,11303.00
DKI JAKARTA,2003,7558.00
DKI JAKARTA,2004,13465.00
DKI JAKARTA,2005,13335.00
DKI JAKARTA,2006,6197.00
DKI JAKARTA,2007,8002.00
DKI JAKARTA,2008,8352.00
DKI JAKARTA,2009,11013.00
DKI JAKARTA,2010,11164.00
DKI JAKARTA,2011,9516.00
DKI JAKARTA,2012,11044.00
DKI JAKARTA,2013,10268.00
DKI JAKARTA,2014,7541.00
DKI JAKARTA,2015,6361.00
DKI JAKARTA,2018,4899.14
DKI JAKARTA,2019,3359.31
DKI JAKARTA,2020,4543.93
DKI JAKARTA,2021,3467.88
JAWA BARAT,2000,10749868.00
JAWA BARAT,2001,9237593.00
JAWA BARAT,2002,9166872.00
JAWA BARAT,2003,8776889.00
JAWA BARAT,2004,9602302.00
JAWA BARAT,2005,9787217.00
JAWA BARAT,2006,9418572.00
JAWA BARAT,2007,9914019.00
JAWA BARAT,2008,10111069.00
JAWA BARAT,2009,11322681.00
JAWA BARAT,2010,11737070.00
JAWA BARAT,2011,11633891.00
JAWA BARAT,2012,11271861.00
JAWA BARAT,2013,12083162.00
JAWA BARAT,2014,11644899.00
JAWA BARAT,2015,11373144.00
JAWA BARAT,2018,9647358.75
JAWA BARAT,2019,9084957.22
