Provinsi,Cabai_Besar_Ton
ACEH,73444
SUMATERA UTARA,193862
SUMATERA BARAT,133190
RIAU,16735
JAMBI,47133
SUMATERA SELATAN,28497
BENGKULU,39638
LAMPUNG,37987
KEP. BANGKA BELITUNG,6955
KEP. RIAU,4181
DKI JAKARTA,0
JAWA BARAT,266067
JAWA TENGAH,166260
DI YOGYAKARTA,44521
JAWA TIMUR,99110
BANTEN,6947
BALI,8049
NUSA TENGGARA BARAT,20092
NUSA TENGGARA TIMUR,3350
KALIMANTAN BARAT,2022
KALIMANTAN TENGAH,1380
KALIMANTAN SELATAN,12655
KALIMANTAN TIMUR,4290
KALIMANTAN UTARA,1778
SULAWESI UTARA,8674
SULAWESI TENGAH,7238
SULAWESI SELATAN,17549
SULAWESI TENGGARA,1963
GORONTALO,334
SULAWESI BARAT,1282
MALUKU,2035
MALUKU UTARA,4170
PAPUA BARAT,812
PAPUA,1993
,
