Provinsi,Cabai_Rawit_Ton
ACEH,64782
SUMATERA UTARA,61160
SUMATERA BARAT,33356
RIAU,8627
JAMBI,13588
SUMATERA SELATAN,11645
BENGKULU,11476
LAMPUNG,10558
KEP. BANGKA BELITUNG,3386
KEP. RIAU,2230
DKI JAKARTA,0
JAWA BARAT,130838
JAWA TENGAH,159099
DI YOGYAKARTA,15052
JAWA TIMUR,684943
BANTEN,5861
BALI,35331
NUSA TENGGARA BARAT,98941
NUSA TENGGARA TIMUR,10468
KALIMANTAN BARAT,6133
KALIMANTAN TENGAH,6124
KALIMANTAN SELATAN,15616
KALIMANTAN TIMUR,9081
KALIMANTAN UTARA,3330
SULAWESI UTARA,22414
SULAWESI TENGAH,25042
SULAWESI SELATAN,24052
SULAWESI TENGGARA,3801
GORONTALO,14729
SULAWESI BARAT,1399
MALUKU,5027
MALUKU UTARA,4527
PAPUA BARAT,2351
PAPUA,3436
,
