Provinsi,Daging_Ayam_Buras_Ton
ACEH,5548.86
SUMATERA UTARA,17852.9
SUMATERA BARAT,5308.93
RIAU,3112.99
JAMBI,7589.08
SUMATERA SELATAN,4353.03
BENGKULU,4556.87
LAMPUNG,13224.49
KEP. BANGKA BELITUNG,555.03
KEP. RIAU,1061.03
DKI JAKARTA,1412.04
JAWA BARAT,26942.51
JAWA TENGAH,34200.51
DI YOGYAKARTA,5316.68
JAWA TIMUR,50562.33
BANTEN,4122.77
BALI,3313.24
NUSA TENGGARA BARAT,11640.34
NUSA TENGGARA TIMUR,11810.22
KALIMANTAN BARAT,3207.11
KALIMANTAN TENGAH,2235.4
KALIMANTAN SELATAN,2803.09
KALIMANTAN TIMUR,5075.39
KALIMANTAN UTARA,1310.66
SULAWESI UTARA,2771.77
SULAWESI TENGAH,8539.77
SULAWESI SELATAN,26458.3
SULAWESI TENGGARA,12013.21
GORONTALO,2472.18
SULAWESI BARAT,5870.85
MALUKU,267.11
MALUKU UTARA,1116.82
PAPUA BARAT,1613.48
PAPUA,4900.56
,
