Provinsi,Daging_Ayam_Ras_Petelur_Ton
ACEH,7.37
SUMATERA UTARA,15715.79
SUMATERA BARAT,12264.14
RIAU,1123.68
JAMBI,1385.86
SUMATERA SELATAN,5873.74
BENGKULU,469.72
LAMPUNG,3257.56
KEP. BANGKA BELITUNG,119.14
KEP. RIAU,605.99
DKI JAKARTA,207.37
JAWA BARAT,13115.27
JAWA TENGAH,9486.36
DI YOGYAKARTA,2999.04
JAWA TIMUR,47191
BANTEN,3712.96
BALI,2586.61
NUSA TENGGARA BARAT,1812.63
NUSA TENGGARA TIMUR,137.31
KALIMANTAN BARAT,3185.72
KALIMANTAN TENGAH,49.88
KALIMANTAN SELATAN,1231.65
KALIMANTAN TIMUR,404.27
KALIMANTAN UTARA,23.13
SULAWESI UTARA,1209.94
SULAWESI TENGAH,644.08
SULAWESI SELATAN,8739.49
SULAWESI TENGGARA,355.65
GORONTALO,310.76
SULAWESI BARAT,253.27
MALUKU,5.9
MALUKU UTARA,18.62
PAPUA BARAT,356.38
PAPUA,549.47
,
