Provinsi,Daging_Sapi_Ton
ACEH,10740.15
SUMATERA UTARA,14569.88
SUMATERA BARAT,22021.89
RIAU,8611.02
JAMBI,5094.19
SUMATERA SELATAN,11615.04
BENGKULU,3149.1
LAMPUNG,13522.13
KEP. BANGKA BELITUNG,3015.31
KEP. RIAU,1400.91
DKI JAKARTA,19194.53
JAWA BARAT,82947.88
JAWA TENGAH,64154.43
DI YOGYAKARTA,7338.04
JAWA TIMUR,105874.08
BANTEN,41394.26
BALI,9081.4
NUSA TENGGARA BARAT,10961.61
NUSA TENGGARA TIMUR,13116.45
KALIMANTAN BARAT,5403.99
KALIMANTAN TENGAH,3851.25
KALIMANTAN SELATAN,6457.56
KALIMANTAN TIMUR,7489.02
KALIMANTAN UTARA,590.81
SULAWESI UTARA,3484.2
SULAWESI TENGAH,5010.52
SULAWESI SELATAN,18184.22
SULAWESI TENGGARA,4405.09
GORONTALO,1924.48
SULAWESI BARAT,2174.75
MALUKU,2193.05
MALUKU UTARA,860.04
PAPUA BARAT,1969.68
PAPUA,3826.8
,
