Provinsi,Kelapa_Sawit_Ton
ACEH,1134600
SUMATERA UTARA,5776800
SUMATERA BARAT,1312300
RIAU,9984300
JAMBI,3022600
SUMATERA SELATAN,4267000
BENGKULU,1063400
LAMPUNG,384900
KEP. BANGKA BELITUNG,843000
KEP. RIAU,20000
DKI JAKARTA,0
JAWA BARAT,33100
JAWA TENGAH,0
DI YOGYAKARTA,0
JAWA TIMUR,0
BANTEN,27400
BALI,0
NUSA TENGGARA BARAT,0
NUSA TENGGARA TIMUR,0
KALIMANTAN BARAT,5471400
KALIMANTAN TENGAH,7685800
KALIMANTAN SELATAN,1561100
KALIMANTAN TIMUR,3823200
KALIMANTAN UTARA,301600
SULAWESI UTARA,0
SULAWESI TENGAH,371700
SULAWESI SELATAN,100300
SULAWESI TENGGARA,76300
GORONTALO,5000
SULAWESI BARAT,348000
MALUKU,19100
MALUKU UTARA,0
PAPUA BARAT,106400
PAPUA,557600
,
