Provinsi,Kopi_Ton
ACEH,73400
SUMATERA UTARA,75000
SUMATERA BARAT,12300
RIAU,2400
JAMBI,18700
SUMATERA SELATAN,191200
BENGKULU,62700
LAMPUNG,118100
KEP. BANGKA BELITUNG,0
KEP. RIAU,0
DKI JAKARTA,0
JAWA BARAT,22400
JAWA TENGAH,24900
DI YOGYAKARTA,500
JAWA TIMUR,48500
BANTEN,2200
BALI,15300
NUSA TENGGARA BARAT,5900
NUSA TENGGARA TIMUR,24200
KALIMANTAN BARAT,3700
KALIMANTAN TENGAH,400
KALIMANTAN SELATAN,1300
KALIMANTAN TIMUR,200
KALIMANTAN UTARA,200
SULAWESI UTARA,3700
SULAWESI TENGAH,2600
SULAWESI SELATAN,33700
SULAWESI TENGGARA,2800
GORONTALO,100
SULAWESI BARAT,4300
MALUKU,400
MALUKU UTARA,0
PAPUA BARAT,0
PAPUA,2800
,
