Provinsi,Tembakau_Ton
ACEH,2200
SUMATERA UTARA,1700
SUMATERA BARAT,200
RIAU,0
JAMBI,500
SUMATERA SELATAN,100
BENGKULU,0
LAMPUNG,400
KEP. BANGKA BELITUNG,0
KEP. RIAU,0
DKI JAKARTA,0
JAWA BARAT,8500
JAWA TENGAH,55500
DI YOGYAKARTA,1000
JAWA TIMUR,136000
BANTEN,0
BALI,400
NUSA TENGGARA BARAT,52700
NUSA TENGGARA TIMUR,900
KALIMANTAN BARAT,0
KALIMANTAN TENGAH,0
KALIMANTAN SELATAN,0
KALIMANTAN TIMUR,0
KALIMANTAN UTARA,0
SULAWESI UTARA,0
SULAWESI TENGAH,100
SULAWESI SELATAN,1200
SULAWESI TENGGARA,0
GORONTALO,0
SULAWESI BARAT,0
MALUKU,0
MALUKU UTARA,0
PAPUA BARAT,0
PAPUA,0
,
