Provinsi,Luas_Reboisasi,id
ACEH,14143,1
BALI,750,2
BANGKA BELITUNG,500,3
BANTEN,9,4
BENGKULU,771,5
GORONTALO,12300,6
JAKARTA,0,7
JAMBI,1000,8
JAWA BARAT,18241,9
JAWA TENGAH,12057,10
JAWA TIMUR,19343,11
KALIMANTAN BARAT,11000,12
KALIMANTAN SELATAN,8300,13
KALIMANTAN TENGAH,400,14
KALIMANTAN TIMUR,3700,15
KEPULAUAN RIAU,400,16
LAMPUNG,16500,17
MALUKU,2050,18
MALUKU UTARA,500,19
NUSA TENGGARA BARAT,3100,20
NUSA TENGGARA TIMUR,6000,21
PAPUA,1000,22
PAPUA BARAT,300,23
RIAU,14749,24
SULAWESI BARAT,2000,25
SULAWESI SELATAN,19600,26
SULAWESI TENGAH,200,27
SULAWESI TENGGARA,300,28
SULAWESI UTARA,400,29
SUMATERA BARAT,1551,30
SUMATERA SELATAN,17629,31
SUMATERA UTARA,17207,32
YOGYAKARTA,0,33
,,
,,
,,
